Token(type='ALGORITMO', value='algoritmo', lineno=3, index=40)
Token(type='^', value='^', lineno=22, index=325)
Token(type='INTEIRO', value=2, lineno=22, index=326)
Token(type=',', value=',', lineno=22, index=327)
Token(type='CARACTERE', value='"oi"', lineno=22, index=328)
Token(type='+', value='+', lineno=22, index=332)
Token(type='CARACTERE', value='"s"', lineno=22, index=333)
Token(type='+', value='+', lineno=22, index=336)
Token(type='CARACTERE', value='"joao"', lineno=22, index=337)
Token(type=')', value=')', lineno=22, index=343)
Token(type=';', value=';', lineno=22, index=344)
Token(type='ESCREVAL', value='escreval', lineno=23, index=346)
Token(type='(', value='(', lineno=23, index=354)
Token(type='VERDADEIRO', value='verdadeiro', lineno=23, index=355)
Token(type=',', value=',', lineno=23, index=365)
Token(type='FALSO', value='falso', lineno=23, index=367)
Token(type=')', value=')', lineno=23, index=372)
Token(type=';', value=';', lineno=23, index=373)
Token(type='LEIA', value='leia', lineno=26, index=419)
Token(type='(', value='(', lineno=26, index=423)
Token(type='ID', value='x', lineno=26, index=424)
Token(type=',', value=',', lineno=26, index=425)
Token(type='ID', value='a', lineno=26, index=426)
Token(type=',', value=',', lineno=26, index=427)
Token(type='ID', value='n', lineno=26, index=428)
Token(type=')', value=')', lineno=26, index=429)
Token(type=';', value=';', lineno=26, index=430)
Token(type='FIMALGORITMO', value='fimalgoritmo', lineno=31, index=476)
Token(type=';', value=';', lineno=31, index=488)
